citizenship	age	sex	district	2009Q4	2010Q4	2011Q4	2012Q4	2013Q4	2014Q4
Denmark	0-4 years	Men	Copenhagen total	16130	16866	17408	17641	17650	17523
Denmark	0-4 years	Men	District - Indre By	1276	1291	1325	1354	1342	1337
Denmark	0-4 years	Men	District - Østerbro	2268	2319	2342	2332	2336	2290
Denmark	0-4 years	Men	District - Nørrebro	2188	2260	2310	2307	2339	2384
Denmark	0-4 years	Men	District - Vesterbro/Kongens Enghave	1880	2040	2153	2142	2135	2106
Denmark	0-4 years	Men	District - Valby	1505	1622	1672	1669	1642	1607
Denmark	0-4 years	Men	District - Vanløse	1125	1166	1184	1257	1217	1183
Denmark	0-4 years	Men	District - Brønshøj-Husum	1189	1202	1256	1262	1280	1228
Denmark	0-4 years	Men	District - Bispebjerg	1246	1323	1379	1397	1346	1324
Denmark	0-4 years	Men	District - Amager Øst	1506	1565	1561	1613	1598	1640
Denmark	0-4 years	Men	District - Amager Vest	1887	2027	2172	2262	2352	2354
Denmark	0-4 years	Men	District - Unlocated	60	51	54	46	63	70
Denmark	0-4 years	Men	Polling area - 1. Østerbro	476	448	465	442	457	442
Denmark	0-4 years	Men	Polling area - 1. Øst	290	292	286	279	268	273
Denmark	0-4 years	Men	Polling area - 1. Nord	216	207	204	228	240	212
Denmark	0-4 years	Men	Polling area - 1. Syd	496	532	539	544	520	491
Denmark	0-4 years	Men	Polling area - 1. Vest	421	439	426	440	449	449
Denmark	0-4 years	Men	Polling area - 1. Nordvest	369	401	422	399	402	423
Denmark	0-4 years	Men	Polling area - 2. Sundbyvester	356	372	370	383	391	400
Denmark	0-4 years	Men	Polling area - 2. Nord	428	443	482	490	499	508
Denmark	0-4 years	Men	Polling area - 2. Syd	241	307	367	416	450	458
Denmark	0-4 years	Men	Polling area - 2. Øst	325	326	354	358	376	364
Denmark	0-4 years	Men	Polling area - 2. Vest	537	579	599	615	636	624
Denmark	0-4 years	Men	Polling area - 3. Indre By	419	410	409	403	429	451
Denmark	0-4 years	Men	Polling area - 3. Nord	234	250	271	278	272	261
Denmark	0-4 years	Men	Polling area - 3. Syd	314	314	305	335	319	332
Denmark	0-4 years	Men	Polling area - 3. Øst	369	368	394	384	385	363
Denmark	0-4 years	Men	Polling area - 4. Sundbyøster	362	373	358	382	374	349
Denmark	0-4 years	Men	Polling area - 4. Nord	523	537	521	529	523	522
Denmark	0-4 years	Men	Polling area - 4. Syd	267	278	300	330	313	323
Denmark	0-4 years	Men	Polling area - 4. Øst	354	377	382	372	388	446
Denmark	0-4 years	Men	Polling area - 5. Nørrebro	227	252	240	262	263	253
Denmark	0-4 years	Men	Polling area - 5. Nord	340	344	333	329	303	322
Denmark	0-4 years	Men	Polling area - 5. Nørrebrohallen	423	421	443	419	437	438
Denmark	0-4 years	Men	Polling area - 5. Syd	264	243	263	260	250	253
Denmark	0-4 years	Men	Polling area - 5. Øst	235	281	278	302	321	346
Denmark	0-4 years	Men	Polling area - 5. Vest	330	330	355	345	352	343
Denmark	0-4 years	Men	Polling area - 5. Nordvest	369	389	398	390	413	429
Denmark	0-4 years	Men	Polling area - 6. Bispebjerg	352	393	414	402	379	357
