,Marital status,Sex,Age,Number of people,Year,Quarter
0,Never married,Men,0-9 years,28458,2008,1
1,Never married,Men,10-19 years,20614,2008,1
2,Never married,Men,20-29 years,50390,2008,1
3,Never married,Men,30-39 years,34521,2008,1
4,Never married,Men,40-49 years,14849,2008,1
5,Never married,Men,50-59 years,7724,2008,1
6,Never married,Men,60-69 years,3262,2008,1
7,Never married,Men,70-79 years,991,2008,1
8,Never married,Men,80-89 years,332,2008,1
9,Never married,Men,90-99 years,28,2008,1
10,Never married,Men,100-109 years,0,2008,1
11,Never married,Men,110 years +,0,2008,1
12,Never married,Women,0-9 years,27148,2008,1
13,Never married,Women,10-19 years,20264,2008,1
14,Never married,Women,20-29 years,53727,2008,1
15,Never married,Women,30-39 years,26610,2008,1
16,Never married,Women,40-49 years,10613,2008,1
17,Never married,Women,50-59 years,5432,2008,1
18,Never married,Women,60-69 years,2433,2008,1
19,Never married,Women,70-79 years,1043,2008,1
20,Never married,Women,80-89 years,922,2008,1
21,Never married,Women,90-99 years,286,2008,1
22,Never married,Women,100-109 years,14,2008,1
23,Never married,Women,110 years +,0,2008,1
24,Married/separated,Men,0-9 years,0,2008,1
25,Married/separated,Men,10-19 years,8,2008,1
26,Married/separated,Men,20-29 years,3367,2008,1
27,Married/separated,Men,30-39 years,16547,2008,1
28,Married/separated,Men,40-49 years,15206,2008,1
29,Married/separated,Men,50-59 years,12303,2008,1
30,Married/separated,Men,60-69 years,10637,2008,1
31,Married/separated,Men,70-79 years,4558,2008,1
32,Married/separated,Men,80-89 years,1995,2008,1
33,Married/separated,Men,90-99 years,213,2008,1
34,Married/separated,Men,100-109 years,1,2008,1
35,Married/separated,Men,110 years +,0,2008,1
36,Married/separated,Women,0-9 years,0,2008,1
37,Married/separated,Women,10-19 years,39,2008,1
38,Married/separated,Women,20-29 years,6199,2008,1
39,Married/separated,Women,30-39 years,18067,2008,1
40,Married/separated,Women,40-49 years,13734,2008,1
41,Married/separated,Women,50-59 years,11881,2008,1
42,Married/separated,Women,60-69 years,8762,2008,1
43,Married/separated,Women,70-79 years,3534,2008,1
44,Married/separated,Women,80-89 years,1364,2008,1
45,Married/separated,Women,90-99 years,140,2008,1
46,Married/separated,Women,100-109 years,1,2008,1
47,Married/separated,Women,110 years +,0,2008,1
48,Widowed,Men,0-9 years,0,2008,1
49,Widowed,Men,10-19 years,0,2008,1
50,Widowed,Men,20-29 years,3,2008,1
51,Widowed,Men,30-39 years,47,2008,1
52,Widowed,Men,40-49 years,143,2008,1
53,Widowed,Men,50-59 years,360,2008,1
54,Widowed,Men,60-69 years,752,2008,1
55,Widowed,Men,70-79 years,1106,2008,1
56,Widowed,Men,80-89 years,1324,2008,1
57,Widowed,Men,90-99 years,405,2008,1
58,Widowed,Men,100-109 years,6,2008,1
59,Widowed,Men,110 years +,0,2008,1
60,Widowed,Women,0-9 years,0,2008,1
61,Widowed,Women,10-19 years,0,2008,1
62,Widowed,Women,20-29 years,17,2008,1
63,Widowed,Women,30-39 years,126,2008,1
64,Widowed,Women,40-49 years,337,2008,1
65,Widowed,Women,50-59 years,1107,2008,1
66,Widowed,Women,60-69 years,2619,2008,1
67,Widowed,Women,70-79 years,4672,2008,1
68,Widowed,Women,80-89 years,6175,2008,1
69,Widowed,Women,90-99 years,2288,2008,1
70,Widowed,Women,100-109 years,68,2008,1
71,Widowed,Women,110 years +,0,2008,1
72,Divorced,Men,0-9 years,0,2008,1
73,Divorced,Men,10-19 years,1,2008,1
74,Divorced,Men,20-29 years,260,2008,1
75,Divorced,Men,30-39 years,3144,2008,1
76,Divorced,Men,40-49 years,5328,2008,1
77,Divorced,Men,50-59 years,5350,2008,1
78,Divorced,Men,60-69 years,5085,2008,1
79,Divorced,Men,70-79 years,1888,2008,1
80,Divorced,Men,80-89 years,469,2008,1
81,Divorced,Men,90-99 years,61,2008,1
82,Divorced,Men,100-109 years,0,2008,1
83,Divorced,Men,110 years +,0,2008,1
84,Divorced,Women,0-9 years,0,2008,1
85,Divorced,Women,10-19 years,0,2008,1
86,Divorced,Women,20-29 years,684,2008,1
87,Divorced,Women,30-39 years,3942,2008,1
88,Divorced,Women,40-49 years,5821,2008,1
89,Divorced,Women,50-59 years,6514,2008,1
90,Divorced,Women,60-69 years,6571,2008,1
91,Divorced,Women,70-79 years,3009,2008,1
92,Divorced,Women,80-89 years,1597,2008,1
93,Divorced,Women,90-99 years,360,2008,1
94,Divorced,Women,100-109 years,5,2008,1
95,Divorced,Women,110 years +,0,2008,1
96,Never married,Men,0-9 years,28560,2008,2
97,Never married,Men,10-19 years,20734,2008,2
98,Never married,Men,20-29 years,50625,2008,2
99,Never married,Men,30-39 years,34930,2008,2
100,Never married,Men,40-49 years,14965,2008,2
101,Never married,Men,50-59 years,7755,2008,2
102,Never married,Men,60-69 years,3333,2008,2
103,Never married,Men,70-79 years,1004,2008,2
104,Never married,Men,80-89 years,328,2008,2
105,Never married,Men,90-99 years,26,2008,2
106,Never married,Men,100-109 years,0,2008,2
107,Never married,Men,110 years +,0,2008,2
108,Never married,Women,0-9 years,27325,2008,2
109,Never married,Women,10-19 years,20411,2008,2
110,Never married,Women,20-29 years,54083,2008,2
111,Never married,Women,30-39 years,26982,2008,2
112,Never married,Women,40-49 years,10695,2008,2
113,Never married,Women,50-59 years,5502,2008,2
114,Never married,Women,60-69 years,2470,2008,2
115,Never married,Women,70-79 years,1047,2008,2
116,Never married,Women,80-89 years,910,2008,2
117,Never married,Women,90-99 years,281,2008,2
118,Never married,Women,100-109 years,12,2008,2
119,Never married,Women,110 years +,0,2008,2
120,Married/separated,Men,0-9 years,0,2008,2
121,Married/separated,Men,10-19 years,8,2008,2
122,Married/separated,Men,20-29 years,3223,2008,2
123,Married/separated,Men,30-39 years,16467,2008,2
124,Married/separated,Men,40-49 years,15305,2008,2
125,Married/separated,Men,50-59 years,12246,2008,2
126,Married/separated,Men,60-69 years,10750,2008,2
127,Married/separated,Men,70-79 years,4566,2008,2
128,Married/separated,Men,80-89 years,1969,2008,2
129,Married/separated,Men,90-99 years,205,2008,2
130,Married/separated,Men,100-109 years,1,2008,2
131,Married/separated,Men,110 years +,0,2008,2
132,Married/separated,Women,0-9 years,0,2008,2
133,Married/separated,Women,10-19 years,36,2008,2
134,Married/separated,Women,20-29 years,6005,2008,2
135,Married/separated,Women,30-39 years,18035,2008,2
136,Married/separated,Women,40-49 years,13807,2008,2
137,Married/separated,Women,50-59 years,11803,2008,2
138,Married/separated,Women,60-69 years,8870,2008,2
139,Married/separated,Women,70-79 years,3509,2008,2
140,Married/separated,Women,80-89 years,1346,2008,2
141,Married/separated,Women,90-99 years,137,2008,2
142,Married/separated,Women,100-109 years,1,2008,2
143,Married/separated,Women,110 years +,0,2008,2
144,Widowed,Men,0-9 years,0,2008,2
145,Widowed,Men,10-19 years,0,2008,2
146,Widowed,Men,20-29 years,1,2008,2
147,Widowed,Men,30-39 years,49,2008,2
148,Widowed,Men,40-49 years,141,2008,2
149,Widowed,Men,50-59 years,350,2008,2
150,Widowed,Men,60-69 years,758,2008,2
151,Widowed,Men,70-79 years,1075,2008,2
152,Widowed,Men,80-89 years,1312,2008,2
153,Widowed,Men,90-99 years,395,2008,2
154,Widowed,Men,100-109 years,6,2008,2
155,Widowed,Men,110 years +,0,2008,2
156,Widowed,Women,0-9 years,0,2008,2
157,Widowed,Women,10-19 years,0,2008,2
158,Widowed,Women,20-29 years,16,2008,2
159,Widowed,Women,30-39 years,119,2008,2
160,Widowed,Women,40-49 years,332,2008,2
161,Widowed,Women,50-59 years,1106,2008,2
162,Widowed,Women,60-69 years,2624,2008,2
163,Widowed,Women,70-79 years,4612,2008,2
164,Widowed,Women,80-89 years,6067,2008,2
