propellant	district	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
I alt	Copenhagen total	91706	96278	99613	100762	101701	103066	104343	105984	109245	113209	117667	122712	126441	129545	132191
I alt	District - Indre By	9271	9787	9990	9990	10084	10132	10299	10425	10707	11009	11530	11791	11775	11986	12136
I alt	District - Østerbro	13001	13548	14042	14230	14295	14349	14546	14639	14951	15353	15912	16565	17050	17173	17347
I alt	District - Nørrebro	9549	9919	10148	9868	9724	9612	9555	9603	9928	10447	10877	11498	12131	12292	12471
I alt	District - Vesterbro/Kongens Enghave	7097	7824	8279	8764	8976	9288	9297	9374	9834	10206	10641	11318	12013	12598	13077
I alt	District - Valby	9397	9772	10045	10184	10371	10556	10726	10929	11314	11737	12033	12608	13091	13564	13902
I alt	District - Vanløse	8585	8842	8995	9030	9075	9206	9316	9465	9606	9945	10298	10513	10634	10793	10848
I alt	District - Brønshøj-Husum	8941	9241	9382	9503	9491	9672	9851	10036	10252	10520	10908	11282	11454	11675	11913
I alt	District - Bispebjerg	7623	7906	8285	8282	8430	8528	8663	8788	8972	9273	9558	10037	10279	10633	10793
I alt	District - Amager Øst	8937	9316	9617	9737	9824	9937	9927	10118	10527	10972	11354	11936	12346	12683	12885
I alt	District - Amager Vest	9121	9985	10692	11016	11307	11663	12014	12465	13003	13566	14414	15019	15517	16027	16679
I alt	District - Unlocated	184	138	138	158	124	123	149	142	151	181	142	145	151	121	140
I alt	Polling area - 1. Østerbro	2566	2727	2800	2865	2862	2872	2871	2859	2924	3031	3098	3185	3143	3185	3200
I alt	Polling area - 1. Øst	1193	1285	1429	1484	1519	1535	1597	1636	1688	1721	1889	2237	2411	2434	2494
I alt	Polling area - 1. Nord	1630	1700	1716	1743	1755	1734	1749	1768	1830	1907	1903	2005	2034	2058	2176
I alt	Polling area - 1. Syd	2729	2843	2967	2961	3007	3002	3066	3021	3016	3103	3149	3161	3243	3267	3230
