district	2005:2009	2006:2010	2007:2011	2008:2012	2009:2013	2010:2014	2011:2015	2012:2016	2013:2017	2014:2018	2015:2019	2016:2020
District - Indre By	79.4	79.5	79.8	80.2	80.6	81.1	81.7	82.1	82.5	83.1	83.2	83.1
District - Østerbro	78.4	78.1	78.6	78.9	79.2	79.7	80.3	80.7	80.8	81.0	81.2	81.4
District - Nørrebro	72.3	72.7	73.0	73.3	73.6	74.5	75.0	75.4	75.8	76.4	76.4	76.7
District - Vesterbro/Kongens Enghave	73.5	73.9	74.1	74.5	75.4	75.6	76.0	76.5	76.9	77.3	77.7	78.0
District - Valby	75.9	75.7	75.9	76.2	76.5	76.9	77.5	77.8	77.9	78.2	78.4	78.7
District - Vanløse	78.1	78.3	78.6	78.7	78.7	79.3	79.5	79.6	79.7	80.5	80.8	81.3
District - Brønshøj-Husum	75.8	76.0	76.3	76.4	76.7	77.3	77.7	78.2	78.5	78.5	78.5	78.5
District - Bispebjerg	74.3	74.5	74.9	75.3	75.5	75.8	76.0	76.2	76.5	77.0	77.5	77.8
District - Amager Øst	76.2	76.4	77.0	77.5	77.6	77.9	78.3	78.8	79.3	80.0	80.4	81.0
District - Amager Vest	74.8	75.3	75.8	76.2	76.3	76.7	76.9	77.3	77.7	77.9	78.2	78.7
District - Unlocated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
