unit	ownership	district	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Total square meters occupied dwellings	Owner-occupied	Copenhagen total	4667001.0	4653155.0	4553823.0	4645638.0	4670340.0	4754453.0	4784720.0	4846538.0	4935226.0	4987610.0	5032038.0	5108096.0	5155254.0	5259141.0	5294249.0	5502660.0	5650854.0	5754480.0	5811079.0	5777982.0	5740392.0	5683576.0	5724932.0	5741599.0	5894296.0	6131715.0	6457439.0	6734498.0	7006088.0	7162252.0	7404886.0
Total square meters occupied dwellings	Owner-occupied	District - Indre By	566699.0	548601.0	537607.0	544514.0	542481.0	556979.0	566399.0	575709.0	592177.0	607864.0	615035.0	644903.0	665914.0	695723.0	710251.0	745348.0	765133.0	761906.0	762520.0	752806.0	739425.0	729609.0	746073.0	751906.0	801279.0	837843.0	905314.0	936517.0	966143.0	971409.0	1003005.0
Total square meters occupied dwellings	Owner-occupied	District - Østerbro	635362.0	641471.0	629433.0	644159.0	663745.0	684473.0	676472.0	693041.0	707626.0	717945.0	724889.0	742944.0	755547.0	783508.0	785941.0	804970.0	813780.0	822505.0	819383.0	812368.0	800858.0	795182.0	794178.0	799378.0	803964.0	840215.0	878653.0	924063.0	966381.0	975452.0	989282.0
Total square meters occupied dwellings	Owner-occupied	District - Nørrebro	298278.0	295581.0	284166.0	285646.0	280287.0	286232.0	288681.0	294110.0	286969.0	283325.0	285847.0	293338.0	288063.0	288838.0	289142.0	298322.0	299251.0	293964.0	275179.0	260499.0	247938.0	240984.0	238523.0	239740.0	243572.0	256790.0	268604.0	289406.0	293731.0	301558.0	305394.0
Total square meters occupied dwellings	Owner-occupied	District - Vesterbro/Kongens Enghave	273584.0	263461.0	259868.0	265418.0	258659.0	269696.0	270836.0	270099.0	274257.0	274864.0	281642.0	283532.0	280082.0	283452.0	291328.0	295142.0	324514.0	338702.0	389926.0	392493.0	371955.0	373735.0	372063.0	376902.0	391110.0	433372.0	532447.0	561857.0	595407.0	624855.0	667276.0
Total square meters occupied dwellings	Owner-occupied	District - Valby	551526.0	558012.0	543136.0	560151.0	565844.0	568973.0	572777.0	578671.0	588896.0	596299.0	599703.0	604241.0	610356.0	610653.0	614622.0	612939.0	620779.0	635848.0	634900.0	633493.0	639453.0	645633.0	644556.0	644294.0	643545.0	658118.0	666488.0	687602.0	709337.0	743333.0	790576.0
Total square meters occupied dwellings	Owner-occupied	District - Vanløse	577072.0	578136.0	565374.0	582008.0	586659.0	592236.0	598096.0	605508.0	616187.0	622105.0	625339.0	627238.0	631577.0	632811.0	636041.0	635057.0	638997.0	638280.0	637980.0	630153.0	626640.0	621521.0	619712.0	624398.0	631091.0	637654.0	644424.0	657672.0	660391.0	665235.0	669109.0
Total square meters occupied dwellings	Owner-occupied	District - Brønshøj-Husum	572879.0	575878.0	564263.0	578603.0	581498.0	583609.0	593152.0	591256.0	598138.0	604662.0	607722.0	610691.0	614228.0	620084.0	621175.0	627198.0	636484.0	637618.0	642575.0	645080.0	642209.0	644451.0	643511.0	642945.0	650321.0	657516.0	658505.0	665787.0	674386.0	676493.0	679535.0
Total square meters occupied dwellings	Owner-occupied	District - Bispebjerg	243548.0	243358.0	240148.0	244169.0	244888.0	252021.0	248769.0	255178.0	260060.0	262233.0	261692.0	263790.0	267154.0	268313.0	268357.0	285505.0	300872.0	303154.0	302283.0	302605.0	279366.0	280862.0	273808.0	272053.0	274532.0	275991.0	283228.0	294399.0	297404.0	302733.0	306645.0
Total square meters occupied dwellings	Owner-occupied	District - Amager Øst	525356.0	525198.0	515867.0	520718.0	519042.0	527109.0	531770.0	540549.0	553951.0	559645.0	564739.0	569652.0	575197.0	595556.0	580737.0	605626.0	620787.0	632525.0	616689.0	615381.0	607303.0	602999.0	595874.0	601411.0	625669.0	659776.0	680593.0	710008.0	742915.0	772149.0	805443.0
Total square meters occupied dwellings	Owner-occupied	District - Amager Vest	422697.0	423459.0	413961.0	420252.0	427237.0	433125.0	437768.0	442417.0	456965.0	458668.0	465430.0	467767.0	467136.0	480203.0	496655.0	592553.0	630257.0	689978.0	729644.0	733104.0	785245.0	748600.0	796634.0	788572.0	829213.0	874440.0	939183.0	1007187.0	1099993.0	1129035.0	1188621.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 1. Østerbro	114782.0	118776.0	119137.0	120564.0	124843.0	130498.0	122773.0	125740.0	125516.0	127094.0	127980.0	128202.0	126550.0	136947.0	142756.0	140635.0	148146.0	144281.0	142593.0	139269.0	133709.0	133682.0	133137.0	134162.0	136543.0	143087.0	144627.0	147717.0	150026.0	153666.0	156919.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 1. Øst	51204.0	49772.0	49423.0	50129.0	54522.0	55453.0	56953.0	60034.0	61603.0	63314.0	61572.0	71379.0	79031.0	83848.0	80627.0	93319.0	95682.0	110659.0	113288.0	113326.0	109753.0	110808.0	108953.0	108042.0	112500.0	134036.0	161037.0	193853.0	217992.0	222326.0	227730.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 1. Nord	130974.0	131678.0	126940.0	135856.0	139414.0	143895.0	142554.0	147350.0	148448.0	151933.0	151118.0	154455.0	156008.0	156111.0	154693.0	154632.0	161547.0	160536.0	158330.0	160679.0	159137.0	159979.0	157223.0	160576.0	159764.0	162362.0	164066.0	170002.0	179074.0	177267.0	182381.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 1. Syd	125553.0	125461.0	122194.0	125132.0	126526.0	132171.0	132585.0	136426.0	141684.0	145511.0	149238.0	152823.0	158382.0	164838.0	161257.0	164730.0	157828.0	156366.0	157700.0	150958.0	151493.0	150433.0	155077.0	155454.0	157512.0	159048.0	160229.0	162960.0	165187.0	167581.0	169189.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 1. Vest	102457.0	101501.0	98272.0	99955.0	103370.0	104966.0	100619.0	101835.0	107636.0	108199.0	110886.0	112048.0	112831.0	115499.0	118336.0	120294.0	118207.0	117325.0	116099.0	120308.0	118664.0	116575.0	115642.0	115652.0	110558.0	113565.0	118076.0	114440.0	117315.0	114401.0	115911.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 1. Nordvest	110392.0	114283.0	113467.0	112523.0	115070.0	117490.0	120988.0	121656.0	122739.0	121894.0	124095.0	124037.0	122745.0	126265.0	128272.0	131360.0	132370.0	133338.0	131373.0	127828.0	128102.0	123705.0	124146.0	125492.0	127087.0	128117.0	130618.0	135091.0	136787.0	140211.0	137152.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 2. Sundbyvester	126515.0	127653.0	125563.0	126461.0	128478.0	131150.0	132632.0	133869.0	144636.0	144622.0	148155.0	146786.0	148318.0	149026.0	149333.0	149779.0	160831.0	170298.0	168387.0	163051.0	164540.0	165970.0	164350.0	167015.0	170565.0	169984.0	178867.0	177856.0	177381.0	180375.0	179560.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 2. Nord	70893.0	71431.0	70762.0	68895.0	72879.0	72468.0	74617.0	76346.0	72006.0	72303.0	72887.0	74782.0	73832.0	76766.0	76716.0	78317.0	77981.0	79543.0	75606.0	74508.0	72218.0	73678.0	73210.0	69866.0	69679.0	71501.0	80762.0	83805.0	91816.0	97885.0	104123.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 2. Syd	40728.0	41393.0	41098.0	41774.0	41836.0	41420.0	42037.0	42389.0	44886.0	46108.0	45493.0	45731.0	45309.0	46271.0	45857.0	74509.0	73866.0	120636.0	126867.0	140721.0	174031.0	152478.0	191258.0	184670.0	193674.0	214518.0	239738.0	258436.0	329354.0	331730.0	368375.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 2. Øst	156767.0	155801.0	149560.0	155535.0	156650.0	159974.0	160872.0	161230.0	165109.0	164691.0	167621.0	169343.0	169761.0	169843.0	172159.0	198811.0	189976.0	187692.0	197952.0	197726.0	199696.0	203854.0	204129.0	204535.0	210054.0	220186.0	223459.0	223319.0	224732.0	229269.0	238547.0
Total square meters occupied dwellings	Owner-occupied	Polling area - 2. Vest	27794.0	27181.0	26978.0	27587.0	27394.0	28113.0	27610.0	28583.0	30328.0	30944.0	31274.0	31125.0	29916.0	38297.0	52590.0	91137.0	127603.0	131809.0	160832.0	157098.0	174760.0	152620.0	163687.0	162486.0	185241.0	198251.0	216357.0	263771.0	276710.0	289776.0	298016.0
