household size	district	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
1 person	Copenhagen total	148505	148349	148740	148426	148978	149717	150375	149751	148807	147647	146057	145248	143725	142755	143674	144826	144340	144358	143088	140125	138425	135574	133811	131644	130531	129163	129073	130248	131304	133718	136611
1 person	District - Indre By	12171	12316	12185	12173	12318	12193	12279	12126	12087	12030	11932	11999	11842	11864	11933	12162	12178	12038	11969	11670	11659	11454	11255	11220	11201	11085	11453	11540	11461	11601	11626
1 person	District - Østerbro	21298	21117	21132	21287	21269	21368	21504	21550	21488	21299	20919	20943	20658	20420	20402	20672	20472	20494	20182	19579	19411	19012	18756	18407	18307	17990	17888	18132	18146	18304	18642
1 person	District - Nørrebro	21924	21937	22105	21984	21990	22306	22377	22253	22270	22110	21852	21581	21317	21111	21342	21280	21065	20905	20756	20125	19822	19191	18685	18047	18017	17624	17373	17426	17697	18090	18240
1 person	District - Vesterbro/Kongens Enghave	15979	15717	15792	15902	15740	15706	15735	15519	15349	15036	14861	14831	14659	14539	14600	14789	14890	14901	15073	14742	14461	14174	14026	13835	13699	13669	13841	14031	14152	14538	15002
1 person	District - Valby	13157	13241	13243	13096	13208	13336	13414	13444	13337	13258	13147	13050	12965	12950	12961	12892	12771	12746	12522	12341	12089	11830	11604	11482	11394	11246	11202	11223	11498	11896	12259
1 person	District - Vanløse	10292	10382	10422	10285	10313	10411	10426	10470	10361	10289	10249	10215	10110	10043	10148	10148	10000	9952	9811	9667	9615	9457	9382	9246	9092	8894	8790	8863	8843	8909	9053
1 person	District - Brønshøj-Husum	8985	9001	9060	9189	9229	9179	9321	9404	9408	9312	9146	9119	9005	8951	9069	9086	8871	8881	8677	8507	8391	8173	8054	7833	7735	7656	7571	7542	7630	7710	7825
1 person	District - Bispebjerg	16645	16617	16575	16284	16364	16597	16571	16340	16162	15985	15807	15677	15460	15442	15622	15617	15745	15607	15428	15156	14891	14545	14303	14068	13705	13569	13645	13677	13608	13717	14065
1 person	District - Amager Øst	15008	14898	15007	15105	15290	15367	15475	15422	15330	15263	15089	14871	14848	14628	14719	14901	14777	14786	14717	14531	14249	13981	13783	13620	13580	13474	13375	13456	13414	13582	14140
1 person	District - Amager Vest	13046	13123	13219	13121	13257	13254	13273	13223	13015	13065	13055	12962	12861	12807	12878	13279	13571	14048	13953	13807	13837	13757	13963	13886	13801	13956	13935	14358	14855	15371	15759
1 person	District - Unlocated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
