FID,id,wkb_geometry,status,driftsplan_navn,arbejdssted_navn,arbejdssted_id,tekst_id,lokaludvalg,byrumstype,underordnet_byrumstype,stednavn,underordnet_stednavn,kgb_kategori,geoobjekttypeid,kommentar,har_sensor,puma_geoobjektid
affaldskurve_puma.1,1,MULTIPOINT ((12.565692814694078 55.67932485271336)),IDrift,Ørstedsparken,Ørstedsparken,144,Ørste_Ørste_144,Indre By,Parker,Klassisk park,Ørstedsparken,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,,false,c03654e3-60e6-4408-bf2a-99eef82c91a9
affaldskurve_puma.2,2,MULTIPOINT ((12.56586038890235 55.679331097100864)),IDrift,Ørstedsparken,Ørstedsparken,144,Ørste_Ørste_144,Indre By,Parker,Klassisk park,Ørstedsparken,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,,false,10f099de-b107-45b6-8e94-17506cb7254f
affaldskurve_puma.3,3,MULTIPOINT ((12.566933919761878 55.68263944689267)),IDrift,Ørstedsparken,Ørstedsparken,144,Ørste_Ørste_144,Indre By,Parker,Klassisk park,Ørstedsparken,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,ef13707a-7fe3-420e-855f-f43be1afb796
affaldskurve_puma.4,4,MULTIPOINT ((12.566245988511534 55.68270722067349)),IDrift,Ørstedsparken,Ørstedsparken,144,Ørste_Ørste_144,Indre By,Parker,Klassisk park,Ørstedsparken,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,f74b90a1-8942-451c-a474-6400f2bd15cb
affaldskurve_puma.5,5,MULTIPOINT ((12.566669489138766 55.68256451356085)),IDrift,Ørstedsparken,Ørstedsparken,144,Ørste_Ørste_144,Indre By,Parker,Lege- og aktivitetsområde,Ørstedsparken,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,ed4afaac-6fc1-403c-b052-9f205134486a
affaldskurve_puma.6,6,MULTIPOINT ((12.56662734780079 55.68215405652524)),IDrift,Ørstedsparken,Ørstedsparken,144,Ørste_Ørste_144,Indre By,Parker,Klassisk park,Ørstedsparken,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,fd78f942-03bd-4134-b224-df945b582998
affaldskurve_puma.7,7,MULTIPOINT ((12.56904130795766 55.68180150929173)),IDrift,Ørstedsparken,Ørstedsparken,144,Ørste_Ørste_144,Indre By,Parker,Klassisk park,Ørstedsparken,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,3be91a2c-5a28-4e8d-b9cf-f422a00043bb
affaldskurve_puma.8,8,MULTIPOINT ((12.56580193461388 55.68217375139089)),IDrift,Ørstedsparken,Ørstedsparken,144,Ørste_Ørste_144,Indre By,Parker,Klassisk park,Ørstedsparken,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,4bb79fb3-9d03-4a27-aa06-0b5ba8686754
affaldskurve_puma.9,9,MULTIPOINT ((12.567150059291437 55.68220476694856)),IDrift,Ørstedsparken,Ørstedsparken,144,Ørste_Ørste_144,Indre By,Parker,Klassisk park,Ørstedsparken,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,2a3e3313-fffb-423c-9eaf-8065ddc7e4bb
affaldskurve_puma.10,10,MULTIPOINT ((12.566710863496304 55.68216581810002)),IDrift,Ørstedsparken,Ørstedsparken,144,Ørste_Ørste_144,Indre By,Parker,Klassisk park,Ørstedsparken,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,,false,451b7c66-4e90-4e4d-b665-6e13b47b32c5
