district	2021	
District - Indre By	9432832
District - Østerbro	9860777
District - Nørrebro	4104694
District - Vesterbro/Kgs. Enghave	8371719
District - Valby	9233781
District - Vanløse	6698505
District - Brønshøj-Husum	8738408
District - Bispebjerg	6832786
District - Amager Øst	9784081
District - Amager Vest	19370227
Polling area - 1. Østerbro	911734
Polling area - 1. Øst	3931532
Polling area - 1. Nord	1494245
Polling area - 1. Syd	1283752
Polling area - 1. Vest	792926
Polling area - 1. Nordvest	1446588
Polling area - 2. Sundbyvester	1545212
Polling area - 2. Nord	1027029
Polling area - 2. Syd	10248777
Polling area - 2. Øst	3178161
Polling area - 2. Vest	3371048
Polling area - 3. Indre By	2145516
Polling area - 3. Nord	1164656
Polling area - 3. Syd	3558655
Polling area - 3. Øst	2564005
Polling area - 4. Sundbyøster	1505757
Polling area - 4. Nord	4194532
Polling area - 4. Syd	992269
Polling area - 4. Øst	3091523
Polling area - 5. Nørrebro	435540
Polling area - 5. Nord	857778
Polling area - 5. Nørrebrohallen	846049
Polling area - 5. Syd	360805
Polling area - 5. Øst	427073
Polling area - 5. Vest	642840
Polling area - 5. Nordvest	534609
Polling area - 6. Bispebjerg	902958
Polling area - 6. Vest	686917
Polling area - 6. Nord	3025701
Polling area - 6. Øst	1392730
Polling area - 6. Syd	824480
Polling area - 7. Brønshøj	784873
Polling area - 7. Nord	1092103
Polling area - 7. Syd	1609268
Polling area - 7. Øst	2274215
Polling area - 7. Vest	2157423
Polling area - 7. Nordvest	2691404
Polling area - 7. Katrinedal	765063
Polling area - 7. Kirkebjerg	1551058
Polling area - 7. Vanløse	2511506
Polling area - 8. Valby	1661842
Polling area - 8. Nord	869317
Polling area - 8. Syd	1580979
Polling area - 8. Vest	1362652
Polling area - 8. Sydøst	2900871
Polling area - 8. Midt	858120
Polling area - 9. Vesterbro	283613
Polling area - 9. Nord	352539
Polling area - 9. Syd	2504074
Polling area - 9. Øst	1018636
Polling area - 9. Vest	691834
Polling area - 9. Midt	2010631
Polling area - 9. Sydhavn	1510392
