marital status	age	sex	district	1976Q1	1977Q1	1978Q1	1979Q1	1980Q1	1981Q1	1982Q1	1983Q1	1984Q1
Never married	0-9 years	Men	Copenhagen total	25418	23547	21951	21134	20740	20412	20058	19759	19487
Never married	0-9 years	Men	District - Indre By	2375	2130	1963	1865	1826	1766	1720	1664	1584
Never married	0-9 years	Men	District - Østerbro	3265	3099	2915	2847	2604	2596	2599	2508	2470
Never married	0-9 years	Men	District - Nørrebro	3998	3611	3370	3220	3199	3146	3068	3029	2945
Never married	0-9 years	Men	District - Vesterbro/Kongens Enghave	2938	2726	2546	2413	2404	2375	2322	2275	2240
Never married	0-9 years	Men	District - Valby	2536	2324	2141	2030	2065	2003	2033	2011	2037
Never married	0-9 years	Men	District - Vanløse	1626	1550	1463	1420	1398	1408	1343	1346	1354
Never married	0-9 years	Men	District - Brønshøj-Husum	2172	2060	1961	1906	1856	1807	1774	1744	1766
Never married	0-9 years	Men	District - Bispebjerg	1583	1457	1369	1379	1364	1354	1357	1348	1366
Never married	0-9 years	Men	District - Amager Øst	2241	2131	1936	1860	1885	1871	1792	1770	1709
Never married	0-9 years	Men	District - Amager Vest	2684	2459	2287	2194	2139	2086	2050	2064	2016
Never married	0-9 years	Men	Polling area - 1. Østerbro	607	605	561	542	500	467	452	430	433
Never married	0-9 years	Men	Polling area - 1. Øst	340	295	277	271	228	232	221	204	196
Never married	0-9 years	Men	Polling area - 1. Nord	347	335	312	312	299	314	301	285	281
Never married	0-9 years	Men	Polling area - 1. Syd	770	702	635	631	611	609	593	570	570
Never married	0-9 years	Men	Polling area - 1. Vest	485	457	425	445	474	477	502	506	505
Never married	0-9 years	Men	Polling area - 1. Nordvest	716	705	705	646	492	497	530	513	485
Never married	0-9 years	Men	Polling area - 2. Sundbyvester	789	712	670	612	591	482	473	470	467
Never married	0-9 years	Men	Polling area - 2. Nord	861	763	702	660	640	660	704	680	674
Never married	0-9 years	Men	Polling area - 2. Syd	104	95	85	88	84	77	76	128	132
Never married	0-9 years	Men	Polling area - 2. Øst	500	508	472	471	478	551	518	512	485
Never married	0-9 years	Men	Polling area - 2. Vest	430	381	358	363	346	316	279	274	258
Never married	0-9 years	Men	Polling area - 3. Indre By	726	639	575	537	477	457	436	420	395
Never married	0-9 years	Men	Polling area - 3. Nord	457	422	380	370	367	351	355	353	339
