citizenship	age	sex	district	1980Q1	1981Q1	1982Q1	1983Q1	1984Q1
Denmark	0-4 years	Men	Copenhagen total	9146	8814	8733	8723	8700
Denmark	0-4 years	Men	District - Indre By	817	788	798	778	729
Denmark	0-4 years	Men	District - Østerbro	1245	1246	1244	1232	1196
Denmark	0-4 years	Men	District - Nørrebro	1266	1216	1216	1193	1183
Denmark	0-4 years	Men	District - Vesterbro/Kongens Enghave	990	939	929	920	935
Denmark	0-4 years	Men	District - Valby	953	907	913	928	946
Denmark	0-4 years	Men	District - Vanløse	648	635	624	633	658
Denmark	0-4 years	Men	District - Brønshøj-Husum	822	766	734	740	768
Denmark	0-4 years	Men	District - Bispebjerg	557	548	533	551	575
Denmark	0-4 years	Men	District - Amager Øst	903	859	834	811	783
Denmark	0-4 years	Men	District - Amager Vest	945	910	908	937	927
Denmark	0-4 years	Men	District - Unlocated	0	0	0	0	0
Denmark	0-4 years	Men	Polling area - 1. Østerbro	242	214	195	206	202
Denmark	0-4 years	Men	Polling area - 1. Øst	103	104	112	94	89
Denmark	0-4 years	Men	Polling area - 1. Nord	148	166	162	165	154
Denmark	0-4 years	Men	Polling area - 1. Syd	278	297	294	296	295
Denmark	0-4 years	Men	Polling area - 1. Vest	253	246	247	240	239
Denmark	0-4 years	Men	Polling area - 1. Nordvest	221	219	234	231	217
Denmark	0-4 years	Men	Polling area - 2. Sundbyvester	258	211	212	214	210
Denmark	0-4 years	Men	Polling area - 2. Nord	275	294	338	335	336
Denmark	0-4 years	Men	Polling area - 2. Syd	40	35	28	55	59
Denmark	0-4 years	Men	Polling area - 2. Øst	199	221	203	203	198
Denmark	0-4 years	Men	Polling area - 2. Vest	173	149	127	130	124
Denmark	0-4 years	Men	Polling area - 3. Indre By	185	181	187	178	172
Denmark	0-4 years	Men	Polling area - 3. Nord	165	161	176	179	167
Denmark	0-4 years	Men	Polling area - 3. Syd	168	162	165	158	147
Denmark	0-4 years	Men	Polling area - 3. Øst	299	284	270	263	243
Denmark	0-4 years	Men	Polling area - 4. Sundbyøster	196	182	190	180	181
Denmark	0-4 years	Men	Polling area - 4. Nord	335	323	312	300	284
Denmark	0-4 years	Men	Polling area - 4. Syd	185	172	173	186	171
Denmark	0-4 years	Men	Polling area - 4. Øst	187	182	159	145	147
Denmark	0-4 years	Men	Polling area - 5. Nørrebro	132	126	131	121	132
Denmark	0-4 years	Men	Polling area - 5. Nord	209	213	201	207	193
Denmark	0-4 years	Men	Polling area - 5. Nørrebrohallen	208	194	186	172	177
Denmark	0-4 years	Men	Polling area - 5. Syd	145	135	153	181	181
Denmark	0-4 years	Men	Polling area - 5. Øst	124	133	119	117	105
Denmark	0-4 years	Men	Polling area - 5. Vest	148	137	165	157	170
Denmark	0-4 years	Men	Polling area - 5. Nordvest	300	278	261	238	225
Denmark	0-4 years	Men	Polling area - 6. Bispebjerg	129	123	126	121	117
Denmark	0-4 years	Men	Polling area - 6. Vest	73	81	88	84	88
Denmark	0-4 years	Men	Polling area - 6. Nord	158	149	135	143	147
Denmark	0-4 years	Men	Polling area - 6. Øst	47	47	45	68	80
Denmark	0-4 years	Men	Polling area - 6. Syd	150	148	139	135	143
Denmark	0-4 years	Men	Polling area - 7. Brønshøj	114	110	120	124	125
Denmark	0-4 years	Men	Polling area - 7. Nord	201	179	165	157	169
Denmark	0-4 years	Men	Polling area - 7. Syd	122	130	129	133	149
Denmark	0-4 years	Men	Polling area - 7. Øst	190	164	165	160	185
Denmark	0-4 years	Men	Polling area - 7. Vest	140	134	133	136	140
Denmark	0-4 years	Men	Polling area - 7. Nordvest	244	239	214	223	217
Denmark	0-4 years	Men	Polling area - 7. Katrinedal	67	62	66	64	70
Denmark	0-4 years	Men	Polling area - 7. Kirkebjerg	201	200	212	207	207
Denmark	0-4 years	Men	Polling area - 7. Vanløse	191	183	154	169	164
Denmark	0-4 years	Men	Polling area - 8. Valby	233	231	226	223	234
Denmark	0-4 years	Men	Polling area - 8. Nord	170	151	175	168	172
Denmark	0-4 years	Men	Polling area - 8. Syd	97	79	100	93	100
Denmark	0-4 years	Men	Polling area - 8. Vest	143	137	134	165	164
Denmark	0-4 years	Men	Polling area - 8. Sydøst	193	204	188	183	178
Denmark	0-4 years	Men	Polling area - 8. Midt	117	105	90	96	98
Denmark	0-4 years	Men	Polling area - 9. Vesterbro	198	176	186	165	167
Denmark	0-4 years	Men	Polling area - 9. Nord	213	201	193	203	206
Denmark	0-4 years	Men	Polling area - 9. Syd	193	214	203	189	204
Denmark	0-4 years	Men	Polling area - 9. Øst	130	112	112	114	118
Denmark	0-4 years	Men	Polling area - 9. Vest	148	127	140	150	150
Denmark	0-4 years	Men	Polling area - 9. Midt	69	64	57	64	56
Denmark	0-4 years	Men	Polling area - 9. Sydhavn	39	45	38	35	34
Denmark	0-4 years	Women	Copenhagen total	8733	8371	8184	8117	8031
Denmark	0-4 years	Women	District - Indre By	774	745	734	684	682
Denmark	0-4 years	Women	District - Østerbro	1164	1132	1166	1143	1132
Denmark	0-4 years	Women	District - Nørrebro	1212	1158	1102	1132	1106
Denmark	0-4 years	Women	District - Vesterbro/Kongens Enghave	886	857	827	772	771
Denmark	0-4 years	Women	District - Valby	916	852	868	854	838
Denmark	0-4 years	Women	District - Vanløse	657	674	643	648	683
