citizenship	age	sex	district	2003Q4	2004Q4	2005Q4	2006Q4	2007Q4	2008Q4
Denmark	0-4 years	Men	Copenhagen total	14542	14497	14439	14508	14970	15388
Denmark	0-4 years	Men	District - Indre By	1283	1252	1259	1293	1271	1270
Denmark	0-4 years	Men	District - Østerbro	2097	2103	2095	2027	2111	2173
Denmark	0-4 years	Men	District - Nørrebro	2309	2304	2225	2144	2158	2105
Denmark	0-4 years	Men	District - Vesterbro/Kongens Enghave	1617	1611	1616	1574	1675	1729
Denmark	0-4 years	Men	District - Valby	1345	1300	1286	1250	1316	1421
Denmark	0-4 years	Men	District - Vanløse	999	1031	1054	1070	1033	1045
Denmark	0-4 years	Men	District - Brønshøj-Husum	1225	1239	1230	1218	1224	1209
Denmark	0-4 years	Men	District - Bispebjerg	1084	1082	1041	1070	1114	1208
Denmark	0-4 years	Men	District - Amager Øst	1331	1314	1268	1313	1361	1403
Denmark	0-4 years	Men	District - Amager Vest	1208	1215	1318	1501	1643	1775
Denmark	0-4 years	Men	District - Unlocated	44	46	47	48	64	50
Denmark	0-4 years	Men	Polling area - 1. Østerbro	428	429	449	424	444	445
Denmark	0-4 years	Men	Polling area - 1. Øst	220	205	188	197	232	254
Denmark	0-4 years	Men	Polling area - 1. Nord	189	205	217	217	207	212
Denmark	0-4 years	Men	Polling area - 1. Syd	480	495	502	464	495	498
Denmark	0-4 years	Men	Polling area - 1. Vest	423	403	373	390	387	405
Denmark	0-4 years	Men	Polling area - 1. Nordvest	357	366	366	335	346	359
Denmark	0-4 years	Men	Polling area - 2. Sundbyvester	304	310	295	305	355	387
Denmark	0-4 years	Men	Polling area - 2. Nord	425	398	404	420	429	415
Denmark	0-4 years	Men	Polling area - 2. Syd	66	56	81	112	157	199
Denmark	0-4 years	Men	Polling area - 2. Øst	209	206	239	293	290	312
Denmark	0-4 years	Men	Polling area - 2. Vest	204	245	299	371	412	462
Denmark	0-4 years	Men	Polling area - 3. Indre By	387	375	383	408	412	406
Denmark	0-4 years	Men	Polling area - 3. Nord	238	248	256	255	245	249
Denmark	0-4 years	Men	Polling area - 3. Syd	311	312	301	297	298	298
Denmark	0-4 years	Men	Polling area - 3. Øst	391	363	366	381	380	367
Denmark	0-4 years	Men	Polling area - 4. Sundbyøster	263	273	258	277	296	316
Denmark	0-4 years	Men	Polling area - 4. Nord	458	441	447	459	475	490
Denmark	0-4 years	Men	Polling area - 4. Syd	275	278	254	261	254	256
Denmark	0-4 years	Men	Polling area - 4. Øst	335	322	309	316	336	341
Denmark	0-4 years	Men	Polling area - 5. Nørrebro	223	229	216	234	224	223
Denmark	0-4 years	Men	Polling area - 5. Nord	368	342	352	327	340	343
Denmark	0-4 years	Men	Polling area - 5. Nørrebrohallen	458	466	478	445	434	402
Denmark	0-4 years	Men	Polling area - 5. Syd	294	267	245	242	259	242
Denmark	0-4 years	Men	Polling area - 5. Øst	277	285	253	242	249	243
Denmark	0-4 years	Men	Polling area - 5. Vest	352	373	354	326	312	319
Denmark	0-4 years	Men	Polling area - 5. Nordvest	337	342	327	328	340	333
