type of income	sex	unit	district	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	Copenhagen total	188310	188504	187264	186921	187656	188058	188953	190506	191893	194439	195626	197966	199328	199900	199626	199965	200086	200030	199175	201399	203237	205572	208667	215608	219409	223854	228007	231567	235640	239783	244461	248801	252465
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	District - Indre By	17085	17064	16725	16816	16910	17039	17302	17329	17239	17512	17550	17900	17861	17831	17811	17909	18048	17892	17821	18147	18135	18288	18648	19589	19984	20321	20762	20965	21440	21963	22224	22592	22649
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	District - Østerbro	24644	24782	24651	24753	24760	24879	25018	25057	25139	25621	25687	25904	26111	26019	25946	26276	26272	26163	25988	25978	26010	26161	26500	27282	27806	28285	28700	29012	29386	30045	30728	30766	30947
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	District - Nørrebro	26573	26882	26779	26808	27306	27480	27679	27864	28160	28673	28759	29205	29295	29298	29234	29165	28850	28789	28264	28332	28395	28400	28707	29697	30177	30799	31362	31526	31858	31854	32151	32144	31873
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	District - Vesterbro/Kongens Enghave	21051	21120	20877	20680	20717	20682	20851	21063	21117	21274	21613	21899	22144	22132	21976	21659	21644	21454	21208	21477	21660	22304	22911	23865	24256	24328	24612	24904	25559	26619	27734	28573	29625
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	District - Valby	16916	16920	16871	16821	16927	16941	16843	16990	17410	17488	17704	17883	17864	17879	17917	17955	18001	17987	17756	17704	17893	18084	18368	18733	18953	19323	19940	20140	20530	21176	22008	22913	23770
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	District - Vanløse	13173	13173	13195	13237	13271	13356	13464	13444	13493	13594	13583	13800	13834	13916	13957	14054	14057	14136	14070	14033	13952	14050	14218	14498	14884	15243	15450	15605	15829	15946	16152	16239	16248
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	District - Brønshøj-Husum	14045	13970	13939	13967	13959	13917	13871	14055	13953	14255	14447	14556	14649	14629	14674	14775	14746	14730	14704	14793	14764	14793	14919	15231	15465	15954	16295	16705	16898	16865	16938	17120	17030
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	District - Bispebjerg	16531	16477	16582	16415	16510	16541	16442	16813	17251	17551	17635	17850	18087	18315	18416	18420	18533	18538	18498	18989	19373	19629	19865	20622	21262	21680	21949	22363	22864	23078	23091	23287	23029
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	District - Amager Øst	18605	18535	18533	18552	18572	18634	18862	19043	19174	19292	19327	19469	19418	19653	19556	19561	19646	19674	19510	19616	19743	19974	20158	20611	20782	21259	21613	22314	22686	23068	23392	23899	24183
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	District - Amager Vest	17084	17043	16934	16939	16965	17051	17172	17456	17574	17629	17823	17937	18170	18289	18351	18308	18302	18731	19466	20558	21399	21962	22494	23171	23795	24459	25077	25608	26175	26834	27890	29277	30914
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	District - Unlocated	2603	2538	2178	1933	1759	1538	1449	1392	1383	1550	1498	1563	1895	1939	1788	1883	1987	1936	1890	1772	1913	1927	1879	2309	2045	2203	2247	2425	2415	2335	2153	1991	2197
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	Polling area - 1. Østerbro	5084	5003	4939	4987	5009	4959	4962	4936	5111	5273	5248	5477	5556	5533	5442	5455	5456	5416	5387	5372	5343	5383	5478	5608	5627	5684	5737	5820	5820	5919	5999	5977	5994
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	Polling area - 1. Øst	2074	2091	2082	2084	2091	2098	2096	2160	2180	2226	2258	2266	2299	2334	2440	2484	2433	2418	2429	2518	2561	2619	2706	2818	2876	2921	3015	3005	3228	3657	4025	4081	4178
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	Polling area - 1. Nord	2525	2506	2520	2579	2608	2629	2623	2607	2614	2595	2642	2696	2709	2680	2647	2683	2662	2719	2679	2673	2610	2637	2701	2801	2856	2911	2938	2976	3000	3046	3069	3075	3184
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	Polling area - 1. Syd	5541	5590	5563	5540	5495	5554	5586	5624	5509	5627	5574	5543	5524	5448	5390	5445	5425	5397	5320	5348	5356	5413	5494	5680	5789	5837	5879	5939	5938	6016	6000	6059	6074
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	Polling area - 1. Vest	5033	5129	5036	5070	5098	5198	5263	5241	5190	5348	5397	5319	5373	5380	5368	5483	5539	5489	5456	5462	5464	5470	5437	5578	5694	5810	5962	6025	6082	6115	6202	6174	6174
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	Polling area - 1. Nordvest	4387	4463	4511	4493	4459	4441	4488	4489	4535	4552	4568	4603	4650	4644	4659	4726	4757	4724	4717	4605	4676	4639	4684	4797	4964	5122	5169	5247	5318	5292	5433	5400	5343
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	Polling area - 2. Sundbyvester	4640	4632	4547	4534	4496	4525	4610	4628	4645	4664	4712	4728	4812	4885	4961	4902	4851	4921	4903	5052	4996	5114	5197	5292	5323	5413	5405	5456	5522	5511	5574	5646	5634
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	Polling area - 2. Nord	5835	5847	5860	5869	5840	5927	5962	6062	6148	6169	6194	6315	6355	6356	6320	6317	6321	6326	6232	6195	6236	6227	6280	6408	6611	6663	6938	6967	7092	7152	7219	7374	7361
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	Polling area - 2. Syd	771	760	747	764	780	772	768	803	812	795	795	769	776	827	859	848	855	867	1034	1255	1860	2225	2436	2650	2967	3309	3501	3602	3722	4032	4876	5855	7311
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	Polling area - 2. Øst	2966	2988	2998	3025	3056	3025	3053	3095	3108	3122	3190	3192	3231	3244	3212	3225	3185	3306	3431	3745	3875	3881	3906	4020	3974	4051	4055	4124	4181	4386	4486	4554	4615
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	Polling area - 2. Vest	2872	2816	2782	2747	2793	2802	2779	2868	2861	2879	2932	2933	2996	2977	2999	3016	3090	3311	3866	4311	4432	4515	4675	4801	4920	5023	5178	5459	5658	5753	5735	5848	5993
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	Polling area - 3. Indre By	7527	7387	6916	6706	6649	6465	6506	6509	6498	6752	6718	6903	7221	7237	6991	7134	7246	7140	7069	7027	7188	7235	7382	8113	8065	8318	8535	8755	8852	8965	8833	8802	9080
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	Polling area - 3. Nord	3141	3151	3114	3138	3169	3198	3224	3151	3134	3127	3159	3203	3186	3174	3185	3185	3160	3128	3068	3104	3113	3138	3207	3369	3376	3392	3452	3395	3412	3523	3491	3503	3553
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	Polling area - 3. Syd	3520	3546	3484	3489	3448	3512	3522	3551	3528	3630	3593	3729	3725	3733	3816	3899	4069	4026	4055	4096	4154	4169	4200	4293	4401	4498	4552	4926	5210	5245	5284	5481	5411
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	Polling area - 3. Øst	5500	5518	5389	5416	5403	5402	5499	5510	5462	5553	5578	5628	5624	5626	5607	5574	5560	5534	5519	5692	5593	5673	5738	6123	6187	6316	6470	6314	6381	6565	6769	6797	6802
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	Polling area - 4. Sundbyøster	4379	4335	4294	4219	4132	4110	4252	4257	4281	4257	4282	4306	4272	4336	4317	4304	4402	4393	4366	4397	4462	4548	4601	4726	4782	4902	4953	5058	5162	5284	5530	5952	6212
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	Polling area - 4. Nord	6618	6602	6630	6677	6717	6785	6811	6930	6969	7075	7094	7116	7157	7209	7183	7164	7165	7128	6976	7019	7089	7174	7161	7329	7390	7514	7717	7801	7833	8045	8015	8092	8095
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	Polling area - 4. Syd	4013	4009	4035	4079	4085	4098	4131	4199	4248	4269	4277	4307	4267	4214	4196	4232	4225	4216	4191	4180	4205	4210	4281	4359	4390	4478	4493	4523	4625	4634	4655	4680	4676
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	Polling area - 4. Øst	3595	3589	3574	3577	3638	3641	3668	3657	3676	3691	3674	3740	3722	3894	3860	3861	3854	3937	3977	4020	3987	4042	4115	4197	4220	4365	4450	4932	5066	5105	5192	5175	5200
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	Polling area - 5. Nørrebro	3499	3496	3433	3356	3454	3400	3449	3502	3544	3578	3524	3607	3688	3670	3595	3576	3509	3459	3391	3382	3373	3393	3389	3478	3482	3539	3555	3582	3639	3617	3667	3633	3564
Personal income in total (ex. imputed rent and before deductions of interest expenses)	Men	People with the type of income (number)	Polling area - 5. Nord	4347	4456	4487	4609	4773	4871	4787	4785	4828	4999	4978	5054	5062	5084	5097	5133	5148	5180	5163	5182	5139	5135	5219	5417	5528	5595	5728	5733	5706	5724	5705	5715	5747
