marital status	age	sex	district	1974Q1	1975Q1
Never married	0-9 years	Men	Copenhagen total	28331	26970
Never married	0-9 years	Men	District - Indre By	2586	2515
Never married	0-9 years	Men	District - Østerbro	3456	3328
Never married	0-9 years	Men	District - Nørrebro	4551	4293
Never married	0-9 years	Men	District - Vesterbro/Kongens Enghave	3267	3084
Never married	0-9 years	Men	District - Valby	2953	2749
Never married	0-9 years	Men	District - Vanløse	1718	1691
Never married	0-9 years	Men	District - Brønshøj-Husum	2444	2326
Never married	0-9 years	Men	District - Bispebjerg	1796	1695
Never married	0-9 years	Men	District - Amager Øst	2508	2382
Never married	0-9 years	Men	District - Amager Vest	3052	2907
Never married	0-9 years	Men	Polling area - 1. Østerbro	630	621
Never married	0-9 years	Men	Polling area - 1. Øst	378	362
Never married	0-9 years	Men	Polling area - 1. Nord	364	350
Never married	0-9 years	Men	Polling area - 1. Syd	861	797
Never married	0-9 years	Men	Polling area - 1. Vest	498	489
Never married	0-9 years	Men	Polling area - 1. Nordvest	725	709
Never married	0-9 years	Men	Polling area - 2. Sundbyvester	876	847
Never married	0-9 years	Men	Polling area - 2. Nord	953	918
Never married	0-9 years	Men	Polling area - 2. Syd	102	109
Never married	0-9 years	Men	Polling area - 2. Øst	580	538
Never married	0-9 years	Men	Polling area - 2. Vest	541	495
Never married	0-9 years	Men	Polling area - 3. Indre By	792	754
Never married	0-9 years	Men	Polling area - 3. Nord	493	482
Never married	0-9 years	Men	Polling area - 3. Syd	373	371
Never married	0-9 years	Men	Polling area - 3. Øst	928	908
Never married	0-9 years	Men	Polling area - 4. Sundbyøster	589	558
Never married	0-9 years	Men	Polling area - 4. Nord	880	859
Never married	0-9 years	Men	Polling area - 4. Syd	551	514
Never married	0-9 years	Men	Polling area - 4. Øst	488	451
Never married	0-9 years	Men	Polling area - 5. Nørrebro	488	452
Never married	0-9 years	Men	Polling area - 5. Nord	644	568
Never married	0-9 years	Men	Polling area - 5. Nørrebrohallen	575	567
Never married	0-9 years	Men	Polling area - 5. Syd	573	549
Never married	0-9 years	Men	Polling area - 5. Øst	661	617
Never married	0-9 years	Men	Polling area - 5. Vest	635	639
Never married	0-9 years	Men	Polling area - 5. Nordvest	975	901
Never married	0-9 years	Men	Polling area - 6. Bispebjerg	453	431
Never married	0-9 years	Men	Polling area - 6. Vest	244	230
Never married	0-9 years	Men	Polling area - 6. Nord	378	390
Never married	0-9 years	Men	Polling area - 6. Øst	135	128
Never married	0-9 years	Men	Polling area - 6. Syd	586	516
Never married	0-9 years	Men	Polling area - 7. Brønshøj	294	295
Never married	0-9 years	Men	Polling area - 7. Nord	836	761
Never married	0-9 years	Men	Polling area - 7. Syd	360	345
Never married	0-9 years	Men	Polling area - 7. Øst	460	446
Never married	0-9 years	Men	Polling area - 7. Vest	335	338
Never married	0-9 years	Men	Polling area - 7. Nordvest	686	649
Never married	0-9 years	Men	Polling area - 7. Katrinedal	185	185
Never married	0-9 years	Men	Polling area - 7. Kirkebjerg	335	358
Never married	0-9 years	Men	Polling area - 7. Vanløse	671	640
Never married	0-9 years	Men	Polling area - 8. Valby	577	536
Never married	0-9 years	Men	Polling area - 8. Nord	502	493
Never married	0-9 years	Men	Polling area - 8. Syd	300	287
Never married	0-9 years	Men	Polling area - 8. Vest	615	550
Never married	0-9 years	Men	Polling area - 8. Sydøst	647	577
Never married	0-9 years	Men	Polling area - 8. Midt	312	306
Never married	0-9 years	Men	Polling area - 9. Vesterbro	647	611
Never married	0-9 years	Men	Polling area - 9. Nord	746	693
Never married	0-9 years	Men	Polling area - 9. Syd	581	541
Never married	0-9 years	Men	Polling area - 9. Øst	570	548
Never married	0-9 years	Men	Polling area - 9. Vest	428	415
Never married	0-9 years	Men	Polling area - 9. Midt	168	169
Never married	0-9 years	Men	Polling area - 9. Sydhavn	127	107
Never married	0-9 years	Women	Copenhagen total	27036	25624
Never married	0-9 years	Women	District - Indre By	2483	2428
Never married	0-9 years	Women	District - Østerbro	3406	3357
Never married	0-9 years	Women	District - Nørrebro	4244	3995
Never married	0-9 years	Women	District - Vesterbro/Kongens Enghave	3090	2926
Never married	0-9 years	Women	District - Valby	2797	2596
Never married	0-9 years	Women	District - Vanløse	1678	1607
Never married	0-9 years	Women	District - Brønshøj-Husum	2229	2120
Never married	0-9 years	Women	District - Bispebjerg	1772	1624
Never married	0-9 years	Women	District - Amager Øst	2432	2293
Never married	0-9 years	Women	District - Amager Vest	2905	2678
Never married	0-9 years	Women	Polling area - 1. Østerbro	660	623
Never married	0-9 years	Women	Polling area - 1. Øst	352	360
Never married	0-9 years	Women	Polling area - 1. Nord	371	398
Never married	0-9 years	Women	Polling area - 1. Syd	837	808
Never married	0-9 years	Women	Polling area - 1. Vest	496	481
Never married	0-9 years	Women	Polling area - 1. Nordvest	690	687
Never married	0-9 years	Women	Polling area - 2. Sundbyvester	871	819
Never married	0-9 years	Women	Polling area - 2. Nord	905	845
Never married	0-9 years	Women	Polling area - 2. Syd	101	93
Never married	0-9 years	Women	Polling area - 2. Øst	530	474
Never married	0-9 years	Women	Polling area - 2. Vest	498	447
Never married	0-9 years	Women	Polling area - 3. Indre By	729	725
Never married	0-9 years	Women	Polling area - 3. Nord	460	444
Never married	0-9 years	Women	Polling area - 3. Syd	351	355
Never married	0-9 years	Women	Polling area - 3. Øst	943	904
Never married	0-9 years	Women	Polling area - 4. Sundbyøster	569	542
Never married	0-9 years	Women	Polling area - 4. Nord	804	760
Never married	0-9 years	Women	Polling area - 4. Syd	560	522
Never married	0-9 years	Women	Polling area - 4. Øst	499	469
Never married	0-9 years	Women	Polling area - 5. Nørrebro	446	434
Never married	0-9 years	Women	Polling area - 5. Nord	587	566
Never married	0-9 years	Women	Polling area - 5. Nørrebrohallen	525	463
Never married	0-9 years	Women	Polling area - 5. Syd	547	507
Never married	0-9 years	Women	Polling area - 5. Øst	578	564
Never married	0-9 years	Women	Polling area - 5. Vest	614	589
Never married	0-9 years	Women	Polling area - 5. Nordvest	947	872
Never married	0-9 years	Women	Polling area - 6. Bispebjerg	439	399
Never married	0-9 years	Women	Polling area - 6. Vest	247	231
Never married	0-9 years	Women	Polling area - 6. Nord	404	373
Never married	0-9 years	Women	Polling area - 6. Øst	140	139
Never married	0-9 years	Women	Polling area - 6. Syd	542	482
Never married	0-9 years	Women	Polling area - 7. Brønshøj	262	273
Never married	0-9 years	Women	Polling area - 7. Nord	773	695
Never married	0-9 years	Women	Polling area - 7. Syd	368	351
Never married	0-9 years	Women	Polling area - 7. Øst	440	430
