"Modtagerovergruppe","Bydele Navn","Roder","År","Måned","Antal borgere"
"Fleksjob – løntilskud og løn","Amager Vest","0325","2015","Januar","8"
"Fleksjob – løntilskud og løn","Amager Vest","0325","2015","Februar","8"
"Fleksjob – løntilskud og løn","Amager Vest","0325","2015","Marts","7"
"Fleksjob – løntilskud og løn","Amager Vest","0325","2015","April","7"
"Fleksjob – løntilskud og løn","Amager Vest","0325","2015","Maj","7"
"Fleksjob – løntilskud og løn","Amager Vest","0325","2015","Juni","6"
"Fleksjob – løntilskud og løn","Amager Vest","0325","2015","Juli","6"
"Fleksjob – løntilskud og løn","Amager Vest","0325","2015","August","6"
"Fleksjob – løntilskud og løn","Amager Vest","0325","2015","September","5"
"Fleksjob – løntilskud og løn","Amager Vest","0325","2015","Oktober","5"
"Fleksjob – løntilskud og løn","Amager Vest","0325","2015","November","5"
"Fleksjob – løntilskud og løn","Amager Vest","0325","2015","December","5"
"Fleksjob – løntilskud og løn","Amager Vest","0325","2016","Januar","5"
"Fleksjob – løntilskud og løn","Amager Vest","0325","2016","Februar","5"
"Fleksjob – løntilskud og løn","Amager Vest","0325","2016","Marts","5"
"Fleksjob – løntilskud og løn","Amager Vest","0326","2015","Januar","7"
"Fleksjob – løntilskud og løn","Amager Vest","0326","2015","Februar","7"
"Fleksjob – løntilskud og løn","Amager Vest","0326","2015","Marts","7"
"Fleksjob – løntilskud og løn","Amager Vest","0326","2015","April","7"
"Fleksjob – løntilskud og løn","Amager Vest","0326","2015","Maj","7"
"Fleksjob – løntilskud og løn","Amager Vest","0326","2015","Juni","7"
"Fleksjob – løntilskud og løn","Amager Vest","0326","2015","Juli","6"
"Fleksjob – løntilskud og løn","Amager Vest","0326","2015","August","5"
"Fleksjob – løntilskud og løn","Amager Vest","0326","2015","September","5"
"Fleksjob – løntilskud og løn","Amager Vest","0326","2015","Oktober","5"
"Fleksjob – løntilskud og løn","Amager Vest","0326","2015","November","5"
"Fleksjob – løntilskud og løn","Amager Vest","0326","2015","December","6"
"Fleksjob – løntilskud og løn","Amager Vest","0326","2016","Januar","6"
"Fleksjob – løntilskud og løn","Amager Vest","0326","2016","Februar","6"
"Fleksjob – løntilskud og løn","Amager Vest","0326","2016","Marts","6"
"Fleksjob – løntilskud og løn","Amager Vest","0327","2015","Januar","8"
"Fleksjob – løntilskud og løn","Amager Vest","0327","2015","Februar","8"
