"Bydele Navn","Roder","År","Måned","Antal borgere"
"Amager Vest","0325","2015","Januar","26"
"Amager Vest","0325","2015","Februar","32"
"Amager Vest","0325","2015","Marts","32"
"Amager Vest","0325","2015","April","38"
"Amager Vest","0325","2015","Maj","38"
"Amager Vest","0325","2015","Juni","38"
"Amager Vest","0325","2015","Juli","22"
"Amager Vest","0325","2015","August","21"
"Amager Vest","0325","2015","September","18"
"Amager Vest","0325","2015","Oktober","19"
"Amager Vest","0325","2015","November","19"
"Amager Vest","0325","2015","December","25"
"Amager Vest","0325","2016","Januar","23"
"Amager Vest","0325","2016","Februar","26"
"Amager Vest","0325","2016","Marts","26"
"Amager Vest","0326","2015","Januar","9"
"Amager Vest","0326","2015","Februar","8"
"Amager Vest","0326","2015","Marts","8"
"Amager Vest","0326","2015","April","10"
"Amager Vest","0326","2015","Maj","9"
"Amager Vest","0326","2015","Juni","10"
"Amager Vest","0326","2015","Juli","10"
"Amager Vest","0326","2015","August","8"
"Amager Vest","0326","2015","September","8"
"Amager Vest","0326","2015","Oktober","8"
"Amager Vest","0326","2015","November","11"
"Amager Vest","0326","2015","December","11"
"Amager Vest","0326","2016","Januar","11"
"Amager Vest","0326","2016","Februar","12"
"Amager Vest","0326","2016","Marts","12"
"Amager Vest","0327","2015","Januar","6"
"Amager Vest","0327","2015","Februar","6"
"Amager Vest","0327","2015","Marts","6"
"Amager Vest","0327","2015","April","5"
"Amager Vest","0327","2015","Maj","4"
"Amager Vest","0327","2015","Juni","4"
"Amager Vest","0327","2015","Juli","4"
"Amager Vest","0327","2015","August","4"
"Amager Vest","0327","2015","September","4"
"Amager Vest","0327","2015","Oktober","5"
"Amager Vest","0327","2015","November","7"
"Amager Vest","0327","2015","December","7"
"Amager Vest","0327","2016","Januar","7"
"Amager Vest","0327","2016","Februar","6"
"Amager Vest","0327","2016","Marts","5"
"Amager Vest","0328","2015","Januar","5"
"Amager Vest","0328","2015","Februar","5"
"Amager Vest","0328","2015","Marts","5"
"Amager Vest","0328","2015","April","5"
"Amager Vest","0328","2015","Maj","5"
"Amager Vest","0328","2015","Juni","5"
"Amager Vest","0328","2015","Juli","3"
"Amager Vest","0328","2015","August","5"
"Amager Vest","0328","2015","September","5"
"Amager Vest","0328","2015","Oktober","5"
"Amager Vest","0328","2015","November","5"
"Amager Vest","0328","2015","December","5"
"Amager Vest","0328","2016","Januar","4"
"Amager Vest","0328","2016","Februar","3"
"Amager Vest","0328","2016","Marts","3"
"Amager Vest","0329","2015","Januar","7"
"Amager Vest","0329","2015","Februar","4"
"Amager Vest","0329","2015","Marts","4"
"Amager Vest","0329","2015","April","6"
"Amager Vest","0329","2015","Maj","5"
"Amager Vest","0329","2015","Juni","4"
"Amager Vest","0329","2015","September","3"
"Amager Vest","0329","2016","Januar","4"
"Amager Vest","0329","2016","Februar","4"
"Amager Vest","0329","2016","Marts","5"
"Amager Vest","0330","2015","September","3"
"Amager Vest","0330","2015","Oktober","4"
"Amager Vest","0330","2015","November","3"
"Amager Vest","0330","2016","Februar","3"
"Amager Vest","0330","2016","Marts","4"
"Amager Vest","0331","2015","Januar","6"
"Amager Vest","0331","2015","Februar","7"
"Amager Vest","0331","2015","Marts","5"
"Amager Vest","0331","2015","April","5"
"Amager Vest","0331","2015","Maj","6"
"Amager Vest","0331","2015","Juni","8"
"Amager Vest","0331","2015","Juli","6"
"Amager Vest","0331","2015","August","4"
"Amager Vest","0331","2015","September","4"
"Amager Vest","0331","2015","Oktober","4"
"Amager Vest","0331","2015","November","5"
"Amager Vest","0331","2015","December","5"
"Amager Vest","0331","2016","Januar","4"
"Amager Vest","0331","2016","Februar","3"
"Amager Vest","0331","2016","Marts","4"
"Amager Vest","0332","2015","Januar","7"
"Amager Vest","0332","2015","Februar","8"
"Amager Vest","0332","2015","Marts","7"
"Amager Vest","0332","2015","April","6"
"Amager Vest","0332","2015","Maj","6"
"Amager Vest","0332","2015","Juni","7"
"Amager Vest","0332","2015","Juli","5"
"Amager Vest","0332","2015","August","6"
"Amager Vest","0332","2015","September","8"
"Amager Vest","0332","2015","Oktober","6"
"Amager Vest","0332","2015","November","4"
"Amager Vest","0332","2015","December","5"
"Amager Vest","0332","2016","Januar","5"
"Amager Vest","0332","2016","Februar","5"
"Amager Vest","0332","2016","Marts","5"
"Amager Vest","0333","2015","Januar","4"
"Amager Vest","0333","2015","Februar","5"
"Amager Vest","0333","2015","Marts","6"
"Amager Vest","0333","2015","April","3"
"Amager Vest","0333","2015","Maj","3"
"Amager Vest","0333","2015","Juni","4"
"Amager Vest","0333","2015","Juli","3"
"Amager Vest","0333","2015","August","3"
"Amager Vest","0333","2015","September","4"
"Amager Vest","0333","2015","December","3"
"Amager Vest","0333","2016","Januar","3"
"Amager Vest","0333","2016","Februar","3"
"Amager Vest","0334","2015","Januar","12"
"Amager Vest","0334","2015","Februar","11"
"Amager Vest","0334","2015","Marts","10"
"Amager Vest","0334","2015","April","10"
"Amager Vest","0334","2015","Maj","10"
"Amager Vest","0334","2015","Juni","9"
"Amager Vest","0334","2015","Juli","10"
"Amager Vest","0334","2015","August","10"
"Amager Vest","0334","2015","September","10"
"Amager Vest","0334","2015","Oktober","11"
"Amager Vest","0334","2015","November","10"
"Amager Vest","0334","2015","December","10"
"Amager Vest","0334","2016","Januar","9"
"Amager Vest","0334","2016","Februar","10"
"Amager Vest","0334","2016","Marts","9"
"Amager Vest","0335","2015","August","3"
"Amager Vest","0335","2015","September","3"
"Amager Vest","0335","2015","Oktober","4"
