"Bydele Navn","Roder","År","Måned","Gennemsnitligt antal sager"
"Amager Vest","0325","2015","Januar","18,75"
"Amager Vest","0325","2015","Februar","15,75"
"Amager Vest","0325","2015","Marts","16,6"
"Amager Vest","0325","2015","April","17,25"
"Amager Vest","0325","2015","Maj","15,5"
"Amager Vest","0325","2015","Juni","17,8"
"Amager Vest","0325","2015","Juli","21"
"Amager Vest","0325","2015","August","24,4"
"Amager Vest","0325","2015","September","21,75"
"Amager Vest","0325","2015","Oktober","22,25"
"Amager Vest","0325","2015","November","22,2"
"Amager Vest","0325","2015","December","19,75"
"Amager Vest","0325","2016","Januar","18,5"
"Amager Vest","0325","2016","Februar","19,6"
"Amager Vest","0325","2016","Marts","19"
"Amager Vest","0326","2015","Januar","16"
"Amager Vest","0326","2015","Februar","18,25"
"Amager Vest","0326","2015","Marts","19,6"
"Amager Vest","0326","2015","April","18,5"
"Amager Vest","0326","2015","Maj","14,25"
"Amager Vest","0326","2015","Juni","18"
"Amager Vest","0326","2015","Juli","17"
"Amager Vest","0326","2015","August","22"
"Amager Vest","0326","2015","September","21,75"
"Amager Vest","0326","2015","Oktober","24,25"
"Amager Vest","0326","2015","November","22,8"
"Amager Vest","0326","2015","December","22,5"
"Amager Vest","0326","2016","Januar","22,25"
"Amager Vest","0326","2016","Februar","18,6"
"Amager Vest","0326","2016","Marts","19,75"
"Amager Vest","0327","2015","Januar","15,25"
"Amager Vest","0327","2015","Februar","13"
"Amager Vest","0327","2015","Marts","11,4"
"Amager Vest","0327","2015","April","10"
"Amager Vest","0327","2015","Maj","7,5"
"Amager Vest","0327","2015","Juni","7"
"Amager Vest","0327","2015","Juli","9,5"
"Amager Vest","0327","2015","August","12,6"
"Amager Vest","0327","2015","September","12,75"
"Amager Vest","0327","2015","Oktober","13,75"
"Amager Vest","0327","2015","November","14,8"
"Amager Vest","0327","2015","December","14,75"
"Amager Vest","0327","2016","Januar","14,25"
"Amager Vest","0327","2016","Februar","13,2"
"Amager Vest","0327","2016","Marts","14"
"Amager Vest","0328","2015","Januar","17,25"
"Amager Vest","0328","2015","Februar","17,75"
"Amager Vest","0328","2015","Marts","18,6"
"Amager Vest","0328","2015","April","19,25"
"Amager Vest","0328","2015","Maj","19,25"
"Amager Vest","0328","2015","Juni","20"
"Amager Vest","0328","2015","Juli","19,25"
"Amager Vest","0328","2015","August","15,4"
"Amager Vest","0328","2015","September","18,5"
"Amager Vest","0328","2015","Oktober","19,75"
"Amager Vest","0328","2015","November","19,8"
"Amager Vest","0328","2015","December","18,25"
"Amager Vest","0328","2016","Januar","17,5"
"Amager Vest","0328","2016","Februar","17"
"Amager Vest","0328","2016","Marts","18,25"
"Amager Vest","0329","2015","Januar","23,25"
"Amager Vest","0329","2015","Februar","21,5"
"Amager Vest","0329","2015","Marts","17,6"
"Amager Vest","0329","2015","April","15"
"Amager Vest","0329","2015","Maj","14,75"
"Amager Vest","0329","2015","Juni","17,2"
