region	sex	age	country of origin	2008Q1	2008Q2	2008Q3	2008Q4
Copenhagen	Men	0-4 years	Total	16516	16623	16708	16857
Copenhagen	Men	0-4 years	Denmark	13303	13416	13542	13699
Copenhagen	Men	0-4 years	Albania	0	0	0	0
Copenhagen	Men	0-4 years	Andorra	0	0	0	0
Copenhagen	Men	0-4 years	Belgium	1	2	1	1
Copenhagen	Men	0-4 years	Bosnia and Herzegovina	28	28	26	27
Copenhagen	Men	0-4 years	Bulgaria	8	6	4	3
Copenhagen	Men	0-4 years	Cyprus	0	0	0	0
Copenhagen	Men	0-4 years	Estonia	2	2	2	3
Copenhagen	Men	0-4 years	Finland	18	19	16	15
Copenhagen	Men	0-4 years	France	29	30	27	28
Copenhagen	Men	0-4 years	Greece	1	2	2	1
Copenhagen	Men	0-4 years	Belarus	0	0	0	0
Copenhagen	Men	0-4 years	Ireland	3	2	3	3
Copenhagen	Men	0-4 years	Iceland	68	73	70	74
Copenhagen	Men	0-4 years	Italy	5	6	6	9
Copenhagen	Men	0-4 years	Yugoslavia	93	89	79	75
Copenhagen	Men	0-4 years	Yugoslavia, Federal Republic	11	11	9	9
Copenhagen	Men	0-4 years	Kosovo	0	0	0	0
Copenhagen	Men	0-4 years	Croatia	10	10	9	9
Copenhagen	Men	0-4 years	Latvia	1	2	3	3
Copenhagen	Men	0-4 years	Liechtenstein	0	0	0	0
Copenhagen	Men	0-4 years	Lithuania	16	17	20	24
Copenhagen	Men	0-4 years	Luxembourg	2	1	1	1
Copenhagen	Men	0-4 years	Republic of North Macedonia	91	93	89	85
Copenhagen	Men	0-4 years	Malta	0	0	0	0
Copenhagen	Men	0-4 years	Moldova	0	0	0	0
Copenhagen	Men	0-4 years	Monaco	0	0	0	0
Copenhagen	Men	0-4 years	Montenegro	0	0	0	0
Copenhagen	Men	0-4 years	Netherlands	7	7	7	8
Copenhagen	Men	0-4 years	Northern Ireland	0	0	0	0
Copenhagen	Men	0-4 years	Norway	32	36	36	40
Copenhagen	Men	0-4 years	Poland	27	34	35	45
Copenhagen	Men	0-4 years	Portugal	7	8	9	7
Copenhagen	Men	0-4 years	Romania	8	8	7	14
Copenhagen	Men	0-4 years	Russia	19	22	21	22
