region	sex	age	country of origin	2011Q1	2011Q2	2011Q3	2011Q4	2012Q1	2012Q2	2012Q3	2012Q4
Copenhagen	Men	0-4 years	Total	18730	18916	19039	19162	19186	19325	19463	19438
Copenhagen	Men	0-4 years	Denmark	15426	15589	15732	15824	15857	16004	16125	16144
Copenhagen	Men	0-4 years	Albania	1	1	1	1	1	1	1	1
Copenhagen	Men	0-4 years	Andorra	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Belgium	5	5	6	6	6	7	8	9
Copenhagen	Men	0-4 years	Bosnia and Herzegovina	42	43	41	41	41	40	41	42
Copenhagen	Men	0-4 years	Bulgaria	20	19	21	23	21	23	24	22
Copenhagen	Men	0-4 years	Cyprus	0	1	1	1	1	1	1	1
Copenhagen	Men	0-4 years	Estonia	11	10	8	9	9	8	12	12
Copenhagen	Men	0-4 years	Finland	16	19	18	20	17	18	18	14
Copenhagen	Men	0-4 years	France	26	28	24	27	26	25	28	27
Copenhagen	Men	0-4 years	Greece	1	1	2	2	1	1	2	4
Copenhagen	Men	0-4 years	Belarus	2	2	2	2	2	2	2	2
Copenhagen	Men	0-4 years	Ireland	3	2	2	2	2	4	4	5
Copenhagen	Men	0-4 years	Iceland	73	73	74	87	89	83	83	81
Copenhagen	Men	0-4 years	Italy	17	17	18	17	21	21	22	24
Copenhagen	Men	0-4 years	Yugoslavia	66	58	56	53	52	51	54	53
Copenhagen	Men	0-4 years	Yugoslavia, Federal Republic	8	9	9	9	9	9	8	7
Copenhagen	Men	0-4 years	Kosovo	1	1	1	1	1	1	1	1
Copenhagen	Men	0-4 years	Croatia	4	3	2	1	1	1	2	2
Copenhagen	Men	0-4 years	Latvia	19	19	20	19	20	21	19	18
Copenhagen	Men	0-4 years	Liechtenstein	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Lithuania	30	34	36	37	35	31	31	32
Copenhagen	Men	0-4 years	Luxembourg	0	1	1	1	1	1	1	1
Copenhagen	Men	0-4 years	Republic of North Macedonia	91	87	86	88	89	83	86	84
Copenhagen	Men	0-4 years	Malta	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Moldova	1	1	1	2	2	1	1	1
Copenhagen	Men	0-4 years	Monaco	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Montenegro	0	1	1	1	1	1	1	1
Copenhagen	Men	0-4 years	Netherlands	9	10	11	13	13	13	13	15
Copenhagen	Men	0-4 years	Northern Ireland	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Norway	43	42	40	37	36	34	39	43
Copenhagen	Men	0-4 years	Poland	75	82	91	94	112	114	113	115
Copenhagen	Men	0-4 years	Portugal	7	9	9	7	6	8	9	9
Copenhagen	Men	0-4 years	Romania	27	26	25	21	21	21	22	20
Copenhagen	Men	0-4 years	Russia	29	27	25	24	27	27	27	24
Copenhagen	Men	0-4 years	San Marino	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Switzerland	9	8	7	6	6	6	5	4
Copenhagen	Men	0-4 years	Serbia	1	3	3	3	3	2	2	2
Copenhagen	Men	0-4 years	Serbia and Montenegro	3	3	3	2	2	2	2	2
Copenhagen	Men	0-4 years	Slovakia	6	8	7	8	9	10	7	6
Copenhagen	Men	0-4 years	Slovenia	1	1	1	2	3	4	4	3
Copenhagen	Men	0-4 years	Soviet Union	1	1	2	2	2	1	1	2
Copenhagen	Men	0-4 years	Spain	15	13	15	17	16	18	21	22
Copenhagen	Men	0-4 years	United Kingdom	40	43	43	44	48	53	60	60
Copenhagen	Men	0-4 years	Sweden	55	57	52	55	59	63	61	64
Copenhagen	Men	0-4 years	Czech Republic	8	8	7	7	7	7	5	6
Copenhagen	Men	0-4 years	Czechoslovakia	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Turkey	222	229	224	220	221	222	219	201
Copenhagen	Men	0-4 years	GDR	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Germany	63	62	63	60	53	54	57	59
Copenhagen	Men	0-4 years	Ukraine	20	23	23	24	25	22	22	23
Copenhagen	Men	0-4 years	Hungary	12	12	11	9	9	9	11	14
Copenhagen	Men	0-4 years	Vatican City State	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Austria	3	4	4	5	3	3	4	4
Copenhagen	Men	0-4 years	Europe not stated	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Algeria	18	18	18	16	16	15	15	13
Copenhagen	Men	0-4 years	Angola	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Benin	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Botswana	1	0	1	1	0	0	0	0
Copenhagen	Men	0-4 years	Burkina Faso	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Burundi	8	8	5	5	5	5	5	6
Copenhagen	Men	0-4 years	Cameroon	4	5	6	6	6	7	9	10
Copenhagen	Men	0-4 years	Central African Republic	0	0	1	1	1	1	1	1
Copenhagen	Men	0-4 years	Comoros	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Congo, Democratic Republic	4	4	3	3	3	3	2	2
Copenhagen	Men	0-4 years	Congo, Republic	2	2	2	2	3	3	2	2
Copenhagen	Men	0-4 years	Djibouti	2	2	3	3	3	3	2	2
Copenhagen	Men	0-4 years	Egypt	27	23	21	24	23	24	26	25
Copenhagen	Men	0-4 years	Ivory Coast	10	11	11	12	13	14	13	13
Copenhagen	Men	0-4 years	Eritrea	6	5	7	7	7	6	8	7
Copenhagen	Men	0-4 years	Ethiopia	13	12	13	13	12	13	15	12
Copenhagen	Men	0-4 years	Gabon	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Gambia, The	12	13	12	14	18	18	15	13
Copenhagen	Men	0-4 years	Ghana	17	18	18	19	17	17	21	21
Copenhagen	Men	0-4 years	Guinea	3	3	3	3	1	1	1	1
Copenhagen	Men	0-4 years	Guinea-Bissau	0	1	0	1	1	1	1	1
Copenhagen	Men	0-4 years	Cape Verde	1	1	1	2	2	2	2	2
Copenhagen	Men	0-4 years	Kenya	4	4	5	5	8	8	7	6
Copenhagen	Men	0-4 years	Lesotho	1	1	1	1	0	0	0	0
Copenhagen	Men	0-4 years	Liberia	2	3	3	3	3	4	3	3
Copenhagen	Men	0-4 years	Libya	7	8	8	8	7	6	6	6
Copenhagen	Men	0-4 years	Madagascar	0	0	0	0	1	0	0	0
Copenhagen	Men	0-4 years	Malawi	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Mali	1	1	1	1	1	1	1	1
Copenhagen	Men	0-4 years	Morocco	190	189	184	180	175	175	169	163
Copenhagen	Men	0-4 years	Mauritania	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Mauritius	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Mozambique	2	2	2	2	2	2	2	2
Copenhagen	Men	0-4 years	Namibia	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Niger	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Nigeria	27	28	26	27	28	27	26	27
Copenhagen	Men	0-4 years	Reunion	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Rwanda	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Sao Tome and Principe	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Senegal	1	1	1	1	2	2	2	2
Copenhagen	Men	0-4 years	Seychelles	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Sierra Leone	4	4	5	6	6	6	6	6
Copenhagen	Men	0-4 years	Somalia	346	344	340	345	338	340	323	306
Copenhagen	Men	0-4 years	Spanish territories in Africa	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Saint Helena	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Sudan	10	9	11	12	12	11	10	9
Copenhagen	Men	0-4 years	Eswantini	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	South Africa	5	4	2	3	4	4	4	2
Copenhagen	Men	0-4 years	South Sudan	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Southwest Africa	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Tanzania	11	10	8	9	8	9	9	8
Copenhagen	Men	0-4 years	Chad	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Togo	5	4	3	3	3	3	3	2
Copenhagen	Men	0-4 years	Tunisia	15	13	14	14	14	14	16	15
Copenhagen	Men	0-4 years	Uganda	7	11	11	11	10	13	13	13
Copenhagen	Men	0-4 years	Zambia	3	2	2	2	1	1	1	2
Copenhagen	Men	0-4 years	Zimbabwe	2	2	2	2	3	3	3	3
Copenhagen	Men	0-4 years	Equatorial Guinea	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Africa not stated	0	1	1	2	2	2	2	2
Copenhagen	Men	0-4 years	Canada	4	6	5	5	2	2	2	3
Copenhagen	Men	0-4 years	USA	26	25	25	24	23	24	28	26
Copenhagen	Men	0-4 years	North America not stated	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Antigua and Barbuda	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Argentina	5	5	5	6	8	8	7	7
Copenhagen	Men	0-4 years	Aruba	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Bahamas	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Barbados	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Belize	0	0	0	0	0	0	0	0
