region	sex	age	country of origin	2015Q1	2015Q2	2015Q3	2015Q4	2016Q1	2016Q2	2016Q3	2016Q4
Copenhagen	Men	0-4 years	Total	19591	19598	19602	19530	19500	19589	19726	19840
Copenhagen	Men	0-4 years	Denmark	16129	16096	16081	16016	15989	16048	16152	16253
Copenhagen	Men	0-4 years	Albania	6	5	6	6	5	5	5	5
Copenhagen	Men	0-4 years	Andorra	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Belgium	7	6	8	6	5	7	7	10
Copenhagen	Men	0-4 years	Bosnia and Herzegovina	41	41	40	42	44	44	45	43
Copenhagen	Men	0-4 years	Bulgaria	29	30	31	32	35	40	42	41
Copenhagen	Men	0-4 years	Cyprus	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Estonia	8	8	8	6	6	5	6	5
Copenhagen	Men	0-4 years	Finland	21	21	22	22	26	23	23	20
Copenhagen	Men	0-4 years	France	44	46	46	45	41	42	42	39
Copenhagen	Men	0-4 years	Greece	5	7	6	7	9	9	9	12
Copenhagen	Men	0-4 years	Belarus	0	0	0	1	2	2	2	2
Copenhagen	Men	0-4 years	Ireland	6	5	7	6	4	5	5	6
Copenhagen	Men	0-4 years	Iceland	74	69	67	63	68	67	68	70
Copenhagen	Men	0-4 years	Italy	29	28	32	37	33	38	41	44
Copenhagen	Men	0-4 years	Yugoslavia	45	42	40	36	34	38	38	39
Copenhagen	Men	0-4 years	Yugoslavia, Federal Republic	5	5	5	6	5	3	3	4
Copenhagen	Men	0-4 years	Kosovo	6	6	6	7	6	6	5	5
Copenhagen	Men	0-4 years	Croatia	5	6	6	6	6	8	8	8
Copenhagen	Men	0-4 years	Latvia	20	17	13	14	17	17	18	19
Copenhagen	Men	0-4 years	Liechtenstein	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Lithuania	34	32	33	32	32	33	31	33
Copenhagen	Men	0-4 years	Luxembourg	2	2	2	2	2	2	2	2
Copenhagen	Men	0-4 years	Republic of North Macedonia	75	76	77	78	76	83	85	81
Copenhagen	Men	0-4 years	Malta	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Moldova	3	3	3	3	2	2	2	3
Copenhagen	Men	0-4 years	Monaco	0	0	0	0	0	0	0	1
Copenhagen	Men	0-4 years	Montenegro	3	4	4	4	4	3	3	4
Copenhagen	Men	0-4 years	Netherlands	27	29	30	31	33	29	31	26
Copenhagen	Men	0-4 years	Northern Ireland	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Norway	47	48	50	48	46	49	51	52
Copenhagen	Men	0-4 years	Poland	132	135	140	142	153	148	147	144
Copenhagen	Men	0-4 years	Portugal	17	17	19	20	23	23	24	23
Copenhagen	Men	0-4 years	Romania	40	41	47	53	53	55	61	70
Copenhagen	Men	0-4 years	Russia	35	36	36	41	43	41	40	42
Copenhagen	Men	0-4 years	San Marino	0	0	0	0	0	0	0	0
Copenhagen	Men	0-4 years	Switzerland	5	5	3	3	3	3	4	5
Copenhagen	Men	0-4 years	Serbia	8	10	10	10	9	10	10	12
Copenhagen	Men	0-4 years	Serbia and Montenegro	3	3	3	2	3	7	7	7
Copenhagen	Men	0-4 years	Slovakia	5	5	6	6	6	6	6	5
Copenhagen	Men	0-4 years	Slovenia	2	2	2	2	2	1	3	2
Copenhagen	Men	0-4 years	Soviet Union	5	5	6	6	6	6	4	5
Copenhagen	Men	0-4 years	Spain	30	28	35	32	30	36	35	38
Copenhagen	Men	0-4 years	United Kingdom	67	70	71	71	74	68	67	70
Copenhagen	Men	0-4 years	Sweden	72	76	74	75	69	77	72	78
Copenhagen	Men	0-4 years	Czech Republic	6	5	6	7	7	8	7	8
Copenhagen	Men	0-4 years	Czechoslovakia	0	0	0	0	0	0	0	0
