statsborgerskab	køn	alder	oprindelsesland	2006	2007	2008	2009	2010	2011	2012	2013
Dansk	Mænd	0-9 år	Danmark	306071	304803	303277	303123	302308	301055	298194	295269
Dansk	Mænd	0-9 år	Albanien	3	2	2	9	10	10	9	11
Dansk	Mænd	0-9 år	Andorra	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Belgien	7	8	7	8	9	10	10	8
Dansk	Mænd	0-9 år	Bosnien-Hercegovina	698	703	745	776	816	831	855	851
Dansk	Mænd	0-9 år	Bulgarien	19	23	21	17	19	22	18	20
Dansk	Mænd	0-9 år	Cypern	0	0	0	0	0	0	0	1
Dansk	Mænd	0-9 år	Estland	6	4	7	8	8	10	10	11
Dansk	Mænd	0-9 år	Finland	9	11	12	12	11	11	11	12
Dansk	Mænd	0-9 år	Frankrig	21	24	21	20	27	25	31	34
Dansk	Mænd	0-9 år	Grækenland	2	1	2	3	3	4	6	5
Dansk	Mænd	0-9 år	Belarus	10	9	7	7	7	9	10	9
Dansk	Mænd	0-9 år	Irland	6	4	4	4	3	2	2	4
Dansk	Mænd	0-9 år	Island	19	20	17	16	17	20	19	20
Dansk	Mænd	0-9 år	Italien	6	8	9	11	9	10	11	10
Dansk	Mænd	0-9 år	Jugoslavien	464	499	505	506	479	446	402	358
Dansk	Mænd	0-9 år	Jugoslavien, Forbundsrepublikken	25	42	49	63	66	80	83	85
Dansk	Mænd	0-9 år	Kosovo	0	0	0	10	28	40	57	71
Dansk	Mænd	0-9 år	Kroatien	19	18	16	19	21	23	22	27
Dansk	Mænd	0-9 år	Letland	6	6	8	13	21	24	23	25
Dansk	Mænd	0-9 år	Liechtenstein	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Litauen	23	23	25	36	45	50	52	53
Dansk	Mænd	0-9 år	Luxembourg	1	1	1	1	1	2	2	3
Dansk	Mænd	0-9 år	Nordmakedonien	159	169	168	186	198	199	198	192
Dansk	Mænd	0-9 år	Malta	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Moldova	5	4	3	3	3	4	7	4
Dansk	Mænd	0-9 år	Monaco	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Montenegro	0	0	0	1	2	4	5	4
Dansk	Mænd	0-9 år	Nederlandene	25	25	21	24	29	26	29	33
Dansk	Mænd	0-9 år	Nordirland	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Norge	66	64	56	56	58	64	74	73
Dansk	Mænd	0-9 år	Polen	190	180	170	169	159	151	155	148
Dansk	Mænd	0-9 år	Portugal	4	2	2	3	5	6	7	7
Dansk	Mænd	0-9 år	Rumænien	74	83	78	79	79	72	69	73
Dansk	Mænd	0-9 år	Rusland	44	44	44	49	48	52	56	66
Dansk	Mænd	0-9 år	San Marino	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Schweiz	9	11	13	15	17	17	18	17
Dansk	Mænd	0-9 år	Serbien	0	2	9	11	15	22	24	27
Dansk	Mænd	0-9 år	Serbien og Montenegro	3	14	17	23	31	27	27	26
Dansk	Mænd	0-9 år	Slovakiet	0	0	1	1	5	6	7	8
Dansk	Mænd	0-9 år	Slovenien	1	1	1	1	2	1	2	4
Dansk	Mænd	0-9 år	Sovjetunionen	13	13	12	12	11	10	10	11
Dansk	Mænd	0-9 år	Spanien	14	17	18	22	26	26	24	26
Dansk	Mænd	0-9 år	Storbritannien	83	86	81	80	73	77	76	79
Dansk	Mænd	0-9 år	Sverige	111	116	110	113	120	127	121	123
Dansk	Mænd	0-9 år	Tjekkiet	3	0	0	1	2	3	6	5
Dansk	Mænd	0-9 år	Tjekkoslovakiet	10	10	8	5	4	3	2	1
Dansk	Mænd	0-9 år	Tyrkiet	2911	2968	2877	2821	2750	2602	2442	2314
Dansk	Mænd	0-9 år	DDR	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Tyskland	160	160	151	150	148	148	142	148
Dansk	Mænd	0-9 år	Ukraine	27	25	25	26	36	35	39	40
Dansk	Mænd	0-9 år	Ungarn	12	12	10	12	14	10	9	9
Dansk	Mænd	0-9 år	Vatikanstaten	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Østrig	19	20	19	19	17	18	16	15
Dansk	Mænd	0-9 år	Europa uoplyst	0	0	0	0	0	0	0	0
Dansk	Mænd	0-9 år	Algeriet	84	82	85	86	80	82	70	63
